OBJECTID *,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,ORIG_FID
1,1,117,30317,1400000US01117030317,1117030317,303.17,CT,3555091,30150,1
2,1,119,11500,1400000US01119011500,1119011500,115,CT,642309320,2872732,2
3,1,121,10900,1400000US01121010900,1121010900,109,CT,6623735,903,3
4,1,125,10102,1400000US01125010102,1125010102,101.02,CT,662610052,23198231,4
5,1,89,701,1400000US01089000701,1089000701,7.01,CT,2647545,0,5
6,1,89,2200,1400000US01089002200,1089002200,22,CT,1575713,0,6
7,1,89,3000,1400000US01089003000,1089003000,30,CT,3973284,5472,7
8,1,95,30902,1400000US01095030902,1095030902,309.02,CT,28065965,86179,8
9,1,97,401,1400000US01097000401,1097000401,4.01,CT,1589550,15221,9
10,1,97,402,1400000US01097000402,1097000402,4.02,CT,686936,7405,10
11,1,97,902,1400000US01097000902,1097000902,9.02,CT,1124440,0,11
12,1,97,1302,1400000US01097001302,1097001302,13.02,CT,1915704,0,12
13,1,97,2200,1400000US01097002200,1097002200,22,CT,2858285,17109,13
14,1,3,11501,1400000US01003011501,1003011501,115.01,CT,38605066,96924,14
15,1,9,50500,1400000US01009050500,1009050500,505,CT,249218475,1495355,15
16,1,15,300,1400000US01015000300,1015000300,3,CT,2620902,45573,16
17,1,15,1600,1400000US01015001600,1015001600,16,CT,14103442,13569,17
18,1,25,957700,1400000US01025957700,1025957700,9577,CT,370157637,7618310,18
19,1,25,958002,1400000US01025958002,1025958002,9580.02,CT,447191124,17991801,19
20,1,31,11000,1400000US01031011000,1031011000,110,CT,28682254,22709,20
21,1,31,11100,1400000US01031011100,1031011100,111,CT,3324444,0,21
22,1,33,20500,1400000US01033020500,1033020500,205,CT,23612763,610520,22
23,1,37,961200,1400000US01037961200,1037961200,9612,CT,649873003,14725427,23
24,1,39,961700,1400000US01039961700,1039961700,9617,CT,503908060,3999585,24
25,1,39,962300,1400000US01039962300,1039962300,9623,CT,278900553,2691022,25
26,1,39,962800,1400000US01039962800,1039962800,9628,CT,249817354,1829806,26
27,1,47,956202,1400000US01047956202,1047956202,9562.02,CT,182237800,1051253,27
28,1,47,956701,1400000US01047956701,1047956701,9567.01,CT,7309481,27552,28
29,1,53,969800,1400000US01053969800,1053969800,9698,CT,944302704,9382428,29
30,1,55,300,1400000US01055000300,1055000300,3,CT,4089845,0,30
31,1,55,500,1400000US01055000500,1055000500,5,CT,3038867,0,31
32,1,59,972900,1400000US01059972900,1059972900,9729,CT,159989544,799987,32
33,1,63,60000,1400000US01063060000,1063060000,600,CT,602520297,5477047,33
34,1,69,40301,1400000US01069040301,1069040301,403.01,CT,6423754,0,34
35,1,69,41200,1400000US01069041200,1069041200,412,CT,2214171,0,35
36,1,71,950400,1400000US01071950400,1071950400,9504,CT,552107693,1678319,36
37,1,73,400,1400000US01073000400,1073000400,4,CT,8000251,0,37
38,1,73,700,1400000US01073000700,1073000700,7,CT,3520564,0,38
39,1,73,2900,1400000US01073002900,1073002900,29,CT,2334506,0,39
40,1,73,4800,1400000US01073004800,1073004800,48,CT,1253859,0,40
