AFFGEOID,POP_TOTAL,POP_65plus
1400000US01001020100,1845,239
1400000US01001020200,2172,262
1400000US01001020300,3385,585
1400000US01001020400,4267,899
1400000US01001020500,9965,1421
1400000US01001020600,3620,486
1400000US01001020700,3420,482
1400000US01001020801,2913,390
1400000US01001020802,11333,1378
1400000US01001020900,6167,670
1400000US01001021000,2796,448
1400000US01001021100,3153,583
1400000US01003010100,3988,788
1400000US01003010200,3259,477
1400000US01003010300,9056,1542
1400000US01003010400,4810,739
1400000US01003010500,5038,1013
1400000US01003010600,3418,322
1400000US01003010701,8068,1584
1400000US01003010703,17748,2015
1400000US01003010704,5883,743
1400000US01003010705,9704,1105
1400000US01003010800,7499,1430
1400000US01003010903,5688,906
1400000US01003010904,6342,1169
1400000US01003010905,8009,967
1400000US01003010906,5473,733
1400000US01003011000,4072,917
1400000US01003011101,10485,1798
1400000US01003011102,4296,708
1400000US01003011201,5136,1210
1400000US01003011202,6179,1466
1400000US01003011300,4710,1131
1400000US01003011401,10180,2214
1400000US01003011403,10050,2148
1400000US01003011405,4386,1479
1400000US01003011406,3331,838
1400000US01003011407,5123,1851
1400000US01003011408,708,285
1400000US01003011501,6334,1524
1400000US01003011502,11801,2223
1400000US01003011601,7131,1268
1400000US01003011602,5455,2094
1400000US01003990000,0,0
1400000US01005950100,3071,602
1400000US01005950200,4291,646
1400000US01005950300,1813,407
1400000US01005950400,3721,618
1400000US01005950500,3365,692
1400000US01005950600,2120,277
1400000US01005950700,1775,449
1400000US01005950800,2157,411
1400000US01005950900,3888,469
1400000US01007010001,2643,479
1400000US01007010002,6201,764
1400000US01007010003,5032,821
1400000US01007010004,8704,1338
1400000US01009050101,7532,1328
1400000US01009050102,7285,1384
1400000US01009050200,3572,572
1400000US01009050300,4937,929
1400000US01009050400,4637,750
1400000US01009050500,7526,1283
1400000US01009050601,4146,625
1400000US01009050602,9317,1550
1400000US01009050700,8715,1587
1400000US01011952100,1488,229
1400000US01011952200,5608,732
1400000US01011952500,3382,629
1400000US01013952700,2089,515
1400000US01013952800,1284,271
1400000US01013952900,2351,259
1400000US01013953000,1523,239
1400000US01013953100,3084,484
1400000US01013953200,3957,806
1400000US01013953300,1869,372
1400000US01013953400,2695,584
1400000US01013953500,1274,201
1400000US01015000200,2488,498
1400000US01015000300,2579,352
1400000US01015000400,2810,492
1400000US01015000500,1275,295
1400000US01015000600,2005,184
1400000US01015000700,2832,646
1400000US01015000800,1197,226
1400000US01015000900,3665,1130
1400000US01015001000,5965,1303
1400000US01015001100,7046,1045
1400000US01015001201,3184,752
1400000US01015001202,4156,627
1400000US01015001300,2112,369
1400000US01015001400,3053,615
1400000US01015001500,5218,777
1400000US01015001600,3508,413
1400000US01015001700,6821,1152
1400000US01015001800,6527,1049
1400000US01015002000,6962,1040
1400000US01015002101,3621,206
1400000US01015002102,3208,621
1400000US01015002103,7025,990
1400000US01015002200,3378,661
1400000US01015002300,3540,567
1400000US01015002400,4652,677
1400000US01015002501,7451,1015
1400000US01015002502,4618,683
1400000US01015002600,4623,612
1400000US01015981901,8,8
1400000US01015981902,0,0
1400000US01015981903,0,0
1400000US01017953800,3655,781
1400000US01017953900,2987,647
1400000US01017954000,6392,1428
1400000US01017954200,3286,660
1400000US01017954300,5102,602
1400000US01017954400,850,188
1400000US01017954500,3972,740
1400000US01017954600,3056,599
1400000US01017954700,4595,655
1400000US01019955701,3474,696
1400000US01019955702,3632,788
1400000US01019955800,5614,1033
1400000US01019955900,4126,742
1400000US01019956000,4372,1249
1400000US01019956100,4637,914
1400000US01021060101,4381,541
1400000US01021060102,7123,1234
1400000US01021060200,2748,483
1400000US01021060300,3658,645
1400000US01021060401,5599,747
1400000US01021060402,8885,1279
1400000US01021060500,3043,535
1400000US01021060600,3531,527
1400000US01021060700,4837,799
1400000US01023956700,2972,491
1400000US01023956800,4370,1012
1400000US01023956900,3553,864
1400000US01023957000,2293,469
1400000US01025957500,1281,277
1400000US01025957601,1122,161
1400000US01025957602,5217,895
1400000US01025957700,1362,319
1400000US01025957800,4948,974
1400000US01025957901,3830,580
1400000US01025957902,4011,854
1400000US01025958001,1219,234
1400000US01025958002,1635,250
1400000US01027958900,5101,942
1400000US01027959000,3251,746
1400000US01027959100,2765,504
1400000US01027959200,2290,416
1400000US01029959500,2886,544
1400000US01029959600,3837,831
1400000US01029959700,3701,651
1400000US01029959800,4515,734
1400000US01031010100,2242,372
1400000US01031010200,1749,373
1400000US01031010300,4912,803
1400000US01031010400,1812,356
1400000US01031010500,4547,803
1400000US01031010600,1510,310
1400000US01031010700,2299,404
1400000US01031010800,2914,528
1400000US01031010900,2219,328
1400000US01031011000,3153,507
1400000US01031011100,2095,454
1400000US01031011201,8602,1629
1400000US01031011202,8498,595
1400000US01031011300,4521,690
1400000US01033020100,3480,617
1400000US01033020200,2053,535
