REFI_FID,X,Y,FID,site_id,Company,Corp,Site,State,AD_Mbpd_2019,AD_Mbpd_2015,AD_Mbpd_2016,AD_Mbpd_2017,AD_Mbpd_2015_prop,AD_Mbpd_2016_prop,AD_Mbpd_2017_prop,Oil_Production_2015,Oil_Production_2016,Oil_Production_2017,Estimated_Oil_Production_2015,Estimated_Oil_Production_2016,Estimated_Oil_Production_2017
1,-97.101794,34.2044,79,339,VALERO REFINING CO OKLAHOMA,VALERO ENERGY CORP,Ardmore,Oklahoma,2,86000,86000,86000,0.022523,0.02205,0.022014,1664598.679,1465498.154,1528852.598,37491.94311,32314.45599,33656.5909
2,-97.079264,36.675939,96,394,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Ponca City,Oklahoma,2,200000,200000,200000,0.052379,0.051279,0.051196,1664598.679,1465498.154,1528852.598,87190.56538,75149.89765,78271.14162
3,-95.999949,36.116749,107,497,HOLLYFRONTIER TULSA REFINING LLC,HOLLYFRONTIER CORP,Tulsa East,Oklahoma,2,70300,70300,0,0.018411,0.018025,0,1664598.679,1465498.154,1528852.598,30647.48373,26415.18902,0
4,-96.022697,36.139133,70,309,HOLLYFRONTIER TULSA REFINING LLC,HOLLYFRONTIER CORP,Tulsa West,Oklahoma,2,85000,85000,85000,0.022261,0.021794,0.021758,1664598.679,1465498.154,1528852.598,37055.99029,31938.7065,33265.23519
5,-97.167756,34.632945,30,177,WYNNEWOOD REFINING CO,CVR ENERGY,Wynnewood,Oklahoma,2,70000,70000,70000,0.018333,0.017948,0.017919,1664598.679,1465498.154,1528852.598,30516.69788,26302.46418,27394.89957
6,-87.363,31.072,127,3008,GOODWAY REFINING LLC,GOODWAY REFINING LLC,Atmore,Alabama,3,4100,4100,4100,0.000445,0.000431,0.000423,3525867.136,3322961.408,3714933.503,1568.417817,1431.89773,1570.979322
7,-88.0562,30.7886,39,206,SHELL CHEMICAL LP,ROYAL DUTCH/SHELL GROUP,Saraland,Alabama,3,80000,91575,91575,0.00868,0.009625,0.009445,3525867.136,3322961.408,3714933.503,30603.27447,31981.95968,35088.39791
8,-87.611011,33.200487,34,190,HUNT REFINING CO,HUNT CONSLD INC,Tuscaloosa,Alabama,3,36000,36000,36000,0.003906,0.003784,0.003713,3525867.136,3322961.408,3714933.503,13771.47351,12572.76056,13793.96478
9,-92.673774,33.199731,99,442,LION OIL CO,DELEK GROUP LTD,El Dorado,Arkansas,3,83000,83000,83000,0.009005,0.008723,0.008561,3525867.136,3322961.408,3714933.503,31750.89726,28987.19796,31802.75213
10,-92.712123,33.363209,89,382,CROSS OIL REFINING & MARKETING INC,MARTIN RESOURCE MANAGEMENT GRP,Smackover,Arkansas,3,7500,7500,7500,0.000814,0.000788,0.000774,3525867.136,3322961.408,3714933.503,2869.056982,2619.325117,2873.742662
11,-91.169797,30.486272,24,161,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,Baton Rouge,Louisiana,3,502500,502500,502500,0.054519,0.052813,0.051829,3525867.136,3322961.408,3714933.503,192226.8178,175494.7828,192540.7584
12,-89.979839,29.684405,62,289,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,Belle Chasse,Louisiana,3,247000,247000,247000,0.026798,0.02596,0.025476,3525867.136,3322961.408,3714933.503,94487.60992,86263.10718,94641.92501
13,-89.974393,29.935151,46,228,Chalmette Refining LLC,PBF ENERGY CO LLC,Chalmette,Louisiana,3,192500,192500,190000,0.020885,0.020232,0.019597,3525867.136,3322961.408,3714933.503,73639.12919,67229.34466,72801.48078
14,-90.892547,30.107774,112,505,SHELL OIL PRODUCTS US,ROYAL DUTCH/SHELL GROUP,Convent,Louisiana,3,235000,235000,227586,0.025496,0.024699,0.023474,3525867.136,3322961.408,3714933.503,89897.11875,82072.18699,87203.14634
15,-93.411128,32.798531,11,111,CALUMET COTTON VALLEY REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Cotton Valley,Louisiana,3,13020,13020,13020,0.001413,0.001368,0.001343,3525867.136,3322961.408,3714933.503,4980.68292,4547.148403,4988.817262
16,-90.595952,30.060139,122,530,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,Garyville,Louisiana,3,522000,539000,543000,0.056635,0.056649,0.056006,3525867.136,3322961.408,3714933.503,199686.3659,188242.1651,208058.9688
17,-91.748001,30.526508,109,501,ALON REFINING KROTZ SPRINGS INC,DELEK GROUP LTD,Krotz Springs,Louisiana,3,80000,80000,80000,0.00868,0.008408,0.008251,3525867.136,3322961.408,3714933.503,30603.27447,27939.46791,30653.25507
18,-93.320068,30.132389,115,510,CALCASIEU REFINING CO,TRANSWORLD OIL USA INC,Lake Charles,Louisiana,3,80000,89000,104000,0.00868,0.009354,0.010727,3525867.136,3322961.408,3714933.503,30603.27447,31082.65805,39849.23159
19,-93.332596,30.181174,103,465,CITGO PETROLEUM CORP,PDV AMERICA INC,Lake Charles,Louisiana,3,427800,427800,425000,0.046414,0.044962,0.043835,3525867.136,3322961.408,3714933.503,163651.0102,149406.3047,162845.4175
20,-89.941198,29.933813,47,237,VALERO REFINING - MERAUX LLC,VALERO ENERGY CORP,Meraux,Louisiana,3,125000,125000,125000,0.013562,0.013138,0.012893,3525867.136,3322961.408,3714933.503,47817.61636,43655.41861,47895.71104
21,-90.40413,30.001717,57,276,SHELL OIL PRODUCTS US,ROYAL DUTCH/SHELL GROUP,Norco,Louisiana,3,238000,237700,225800,0.025822,0.024982,0.023289,3525867.136,3322961.408,3714933.503,91044.74155,83015.14403,86518.81242
22,-90.423202,30.002368,117,517,VALERO REFINING NEW ORLEANS LLC,VALERO ENERGY CORP,Norco,Louisiana,3,215000,215000,215000,0.023327,0.022597,0.022176,3525867.136,3322961.408,3714933.503,82246.30014,75087.32001,82380.62299
23,-91.210811,30.477376,53,262,PLACID REFINING CO,PLACID OIL CO,Port Allen,Louisiana,3,75000,75000,75000,0.008137,0.007883,0.007736,3525867.136,3322961.408,3714933.503,28690.56982,26193.25117,28737.42662
24,-93.511874,32.59107,10,110,CALUMET PRINCETON REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Princeton,Louisiana,3,8300,8300,8300,0.000901,0.000872,0.000856,3525867.136,3322961.408,3714933.503,3175.089726,2898.719796,3180.275213
25,-93.792592,32.467561,49,244,CALUMET SHREVEPORT REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",Shreveport,Louisiana,3,57000,57000,57000,0.006184,0.005991,0.005879,3525867.136,3322961.408,3714933.503,21804.83306,19906.87089,21840.44423
