AQS_FID,REFI_FID,DISTANCE
1,39,918111.2356
1,38,917642.7374
1,37,917095.2647
1,36,916863.3298
1,56,873231.9441
1,52,794114.9107
1,47,776464.7913
1,54,745308.5739
1,48,669036.3786
1,46,664886.5151
1,45,669273.9454
1,44,671578.2786
1,42,667862.7552
1,40,667367.5282
1,58,705404.274
1,55,705126.4825
1,43,705640.9885
1,32,663221.1317
1,51,644130.8825
1,50,654741.4669
1,49,651737.6925
1,33,631027.0678
1,26,622458.7518
1,19,627816.5112
1,18,633320.0018
1,59,757049.0719
1,22,746949.9135
1,21,747945.7416
1,20,777764.0663
1,13,775906.4191
1,12,798868.5046
1,23,664567.6295
1,17,637203.9905
1,14,714728.4523
1,11,665540.4276
1,16,733120.0081
1,27,827173.1808
1,7,821299.3695
1,41,1173159.964
1,6,850181.8882
1,34,734121.6061
1,57,379989.2163
1,25,371987.2249
1,28,678782.7124
1,30,952169.1467
1,24,365203.4159
1,15,346227.2575
1,29,507465.4065
1,10,318816.4405
1,9,335891.5467
1,1,281312.4072
1,8,704827.3766
1,5,259734.4691
1,31,1246284.211
1,53,652079.0637
1,35,606268.7659
1,4,129318.9348
1,3,126593.932
1,2,239426.8833
2,39,961010.1806
2,38,961197.4669
2,37,959296.2326
2,36,962183.7234
2,56,890677.7949
2,52,794403.5139
2,47,801676.6419
2,54,844404.7652
2,48,789497.9285
2,46,788541.63
2,45,787967.4281
2,44,790312.1915
2,42,787912.292
2,40,790775.4401
2,58,834666.7796
2,55,834676.1169
2,43,833878.9102
2,32,792184.4697
2,51,811705.1143
2,50,818894.0886
2,49,816226.3636
2,33,793629.5961
2,26,812239.8117
2,19,815026.726
2,18,820287.5503
2,59,1005923.5
2,22,995178.65
2,21,996452.4198
2,20,1031979.937
2,13,1029693.906
2,12,1049601.095
2,23,906191.65
2,17,869151.5671
2,14,956839.1692
2,11,908023.2678
2,16,979432.5542
2,27,1101421.19
2,7,1102845.205
2,41,946925.8995
2,6,1137781.299
2,34,573261.9046
2,57,515945.2545
2,25,581347.0381
2,28,963477.0851
2,30,724451.1495
2,24,587768.3759
2,15,577194.084
2,29,782363.9689
2,10,583384.7988
2,9,597428.3638
2,1,264384.9299
2,8,1002318.822
2,5,217041.9874
2,31,960244.8278
2,53,368138.8435
2,35,329905.5657
2,4,168809.7813
2,3,171426.1626
2,2,71022.51397
3,39,982069.0702
3,38,982109.282
3,37,980498.3569
3,36,982703.2175
3,56,916784.4648
3,52,823233.811
3,47,825064.8728
3,54,851150.7702
3,48,790373.7414
3,46,788619.8111
3,45,789256.5476
3,44,791622.343
3,42,788868.2827
3,40,790943.7644
3,58,833926.1164
3,55,833864.1996
3,43,833383.5876
3,32,790999.2307
3,51,800956.7896
3,50,809117.0765
3,49,806332.1298
3,33,783960.7961
3,26,795597.5242
3,19,799108.6562
3,18,804489.4945
3,59,972898.2867
3,22,962330.5962
3,21,963514.7769
3,20,997186.2087
3,13,995044.5111
3,12,1016096.806
3,23,875109.9347
3,17,840894.4847
3,14,925862.5574
3,11,876673.0628
3,16,947166.2213
3,27,1058984.187
3,7,1057022.162
3,41,1016472.341
3,6,1088734.338
3,34,631919.2783
3,57,507287.6846
3,25,556080.8866
3,28,915856.44
3,30,793728.0556
3,24,559081.3348
3,15,546000.2923
3,29,738783.2144
3,10,542230.972
3,9,557428.4841
3,1,276268.4525
3,8,944605.5909
3,5,228957.0199
3,31,1029815.541
3,53,438934.9788
3,35,401341.7097
3,4,113192.5433
